cluster,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,0.653,0.785,-5.475,0.105,0.094,0.076,0.205,0.533,124.09,224251.972
1,0.661,0.494,-9.706,0.112,0.37,0.104,0.156,0.462,113.407,229729.215
